9301..9340 fk_host_spawn_arm
9396..9527 fk_host_door
9586..9597 fk_f64_reset
9599..9612 fk_f64_reserve
9613..9619 fk_f64_push
9620..9620 fk_f64_type_of
9622..9622 fk_f64_cvt
9631..9675 fk_f64_admit
9676..9680 fk_f64_put
9683..9686 fk_f64_release
9687..9687 fk_f64_is_temp
9689..9698 fk_f64_mov64
9700..9746 fk_f64_emit
9748..9765 fk_f64_body_of
9767..9785 fk_f64_install
9799..9803 fk_twin_name_eq
9804..9813 fk_twin_leaf_eq
9814..9833 fk_twin_id_of
9834..9845 fk_twin_pulse
9846..9889 fk_twin_call
9890..9928 fk_f64_pulse
9931..9978 fk_f64_loop_pass
9979..10074 fk_f64_loop_pulse
10090..10100 fk_len_upto
10102..10119 fk_len_cmp
10120..10820 fk_walk
10821..10823 fk_gift_live
10843..10843 fk_field_name
10844..10861 fk_field_take
10862..10862 fk_field_pp
10863..10863 fk_field_sp
10864..10864 fk_field_fp
10865..10865 fk_field_claim
10867..10892 fk_field_open
10893..10898 fk_field_unlink_all
10899..10903 fk_field_yield
10906..10906 fk_field_bytes_hash
10907..10914 fk_str_bytes_eq
10916..10947 fk_field_share_string
10949..10978 fk_field_share_float
10980..11004 fk_field_share_value
11006..11017 fk_field_node_matches
11018..11041 fk_field_fill
11043..11067 fk_field_intern_node
11080..11088 fk_store_name
11089..11096 fk_store_unlink_pid
11097..11117 fk_store_take
11125..11146 fk_prog_take
11147..11156 fk_prog_unlink_pid
11157..11161 fk_prog_note_counts
11162..11167 fk_prog_note_defn
11168..11172 fk_prog_note_body
11173..11182 fk_prog_note_ice
11183..11192 fk_store_copy_out
11194..11207 fk_store_go_private
11209..11217 fk_store_grow
11220..11280 fk_gift_open
11282..11287 fk_gift_close
11290..11301 fk_terminal_dim
11312..11321 fk_sappend
11322..11349 fk_intern_int_node
11350..11381 fk_intern_str_node
11382..11410 fk_intern_bool_node
11411..11454 fk_intern_float_node
11455..11496 fk_intern_composite
11497..11512 fk_make_nodeid
11530..11567 fk_gift_give
11570..11605 fk_gift_take_str
11613..11613 fk_cross_put_i64
11614..11614 fk_cross_put_u32
11615..11648 fk_cross_emit
11649..11649 fk_cross_get_i64
11650..11650 fk_cross_get_u32
11651..11679 fk_cross_decode
11693..11703 fk_live_pid_name
11704..11708 fk_live_now_ms
11709..11713 fk_live_cpu_us
11740..11753 fk_live_line_col
11755..11776 fk_live_note_defn
11777..11791 fk_live_roster_register
11794..11845 fk_live_open
11847..11854 fk_live_note
11855..11855 fk_live_publish
11857..11865 fk_live_read_words
11881..11908 fk_roster_register
11909..11926 fk_roster_names
11929..11929 fk_hot_pick
11930..11969 fk_hot_pick_by
11970..11978 fk_hot_unit_of
11988..11988 fk_cell_letter
11989..11989 fk_cell_enc
11990..11990 fk_cell_dec
11991..12032 fk_cell_map_open
12033..12044 fk_cell_map_close
12046..12061 fk_cell_col_open
12062..12069 fk_cell_col
12071..12079 fk_cell_kind_of
12080..12110 fk_cell_field
12111..12137 fk_cell_value
12139..12149 fk_hot_row_cell
12160..12173 fk_hot_rows_by
12175..12190 fk_live_read_page
12196..12240 fk_page_rows
12245..12265 fk_pow_d
12270..12298 fk_intern_float32_node
12304..12324 fk_float_leaf
12348..12353 fk_fb_hash_bytes
12354..12399 fk_fb_str_index
12401..12414 fk_fb_collect
12415..12421 fk_fb_reserve
12422..12426 fk_fb_u32
12427..12433 fk_fb_i64le
12434..12438 fk_fb_f64le
12439..12441 fk_fb_leaf
12444..12448 fk_fb_int
12449..12492 fk_fb_emit
12495..12519 fk_fb_serialize
12526..12533 fk_fb_get_u32
12534..12542 fk_fb_get_i64le
12543..12563 fk_fb_utf8_ok
12564..12567 fk_fb_string_leaf
12571..12587 fk_fb_leaf_node
12588..12593 fk_fb_kids_list
